==9150== NVPROF is profiling process 9150, command: ./v1.out
==9150== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9150== Profiling application: ./v1.out
==9150== Profiling result:
==9150== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(Nim*, MovesArray*, Nimply*, ResultArray*, Result*)
          1                      local_store_requests              Total number of local store requests from Multiprocessor      263579      263579      263579
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       9.09%       9.09%       9.09%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      19.53%      19.53%      19.53%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      65.48%      65.48%      65.48%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)       1.22%       1.22%       1.22%
          1                               stall_other                                           Issue Stall Reasons (Other)       4.36%       4.36%       4.36%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.01%       0.01%       0.01%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.14%       0.14%       0.14%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.16%       0.16%       0.16%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions      552787      552787      552787
          1                     l2_write_transactions                                                 L2 Write Transactions      295136      295136      295136
          1                     local_memory_overhead                                                 Local Memory Overhead      99.97%      99.97%      99.97%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      22.81%      22.81%      22.81%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  1.2097GB/s  1.2097GB/s  1.2097GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  711.82MB/s  711.82MB/s  711.82MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      513759      513759      513759
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      295222      295222      295222
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  1.3016GB/s  1.3016GB/s  1.3016GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  711.62MB/s  711.62MB/s  711.62MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
