==9159== NVPROF is profiling process 9159, command: ./v1.out
==9159== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9159== Profiling application: ./v1.out
==9159== Profiling result:
==9159== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(Nim*, MovesArray*, Nimply*, ResultArray*, Result*)
          1                 tex0_cache_sector_queries      489354      489354      489354      489354
          1                 tex1_cache_sector_queries      558675      558675      558675      558675
          1                  tex0_cache_sector_misses      700033      700033      700033      700033
          1                  tex1_cache_sector_misses      178781      178781      178781      178781
          1              l2_subp0_write_sector_misses        4483        4483        4483        4483
          1              l2_subp1_write_sector_misses        7277        7277        7277        7277
          1               l2_subp0_read_sector_misses        1270        1270        1270        1270
          1               l2_subp1_read_sector_misses        1270        1270        1270        1270
          1          l2_subp0_read_tex_sector_queries      280036      280036      280036      280036
          1          l2_subp1_read_tex_sector_queries      239152      239152      239152      239152
          1         l2_subp0_write_tex_sector_queries      140590      140590      140590      140590
          1         l2_subp1_write_tex_sector_queries      154632      154632      154632      154632
          1             l2_subp0_read_tex_hit_sectors      288745      288745      288745      288745
          1             l2_subp1_read_tex_hit_sectors      228982      228982      228982      228982
          1            l2_subp0_write_tex_hit_sectors      140590      140590      140590      140590
          1            l2_subp1_write_tex_hit_sectors      154632      154632      154632      154632
          1        l2_subp0_total_read_sector_queries      570014      570014      570014      570014
          1        l2_subp1_total_read_sector_queries      517892      517892      517892      517892
          1       l2_subp0_total_write_sector_queries      136324      136324      136324      136324
          1       l2_subp1_total_write_sector_queries      158864      158864      158864      158864
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    11429101    11429101    11429101    11429101
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit       25431       25431       25431       25431
          1                            gld_inst_64bit          18          18          18          18
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit        5132        5132        5132        5132
          1                            gst_inst_64bit         162         162         162         162
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           9           9           9           9
          1                              inst_issued0    25729163    25729163    25729163    25729163
          1                              inst_issued1     2355930     2355930     2355930     2355930
          1                              inst_issued2      215938      215938      215938      215938
          1                             inst_executed     2787747     2787747     2787747     2787747
          1                      thread_inst_executed     6669224     6669224     6669224     6669224
          1   not_predicated_off_thread_inst_executed     6452548     6452548     6452548     6452548
          1                               local_store       18899       18899       18899       18899
          1                                local_load       69043       69043       69043       69043
          1                               shared_load          45          45          45          45
          1                              shared_store          45          45          45          45
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load          36          36          36          36
          1                              global_store          27          27          27          27
          1                          divergent_branch        2574        2574        2574        2574
          1                                    branch      221859      221859      221859      221859
          1                             active_cycles    11427493    11427493    11427493    11427493
          1                              active_warps    46350008    46350008    46350008    46350008
          1                               active_ctas    46732501    46732501    46732501    46732501
          1                           sm_cta_launched           9           9           9           9
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions         474         474         474         474
          1                    shared_st_transactions         262         262         262         262
