==15114== NVPROF is profiling process 15114, command: ./v2.out
==15114== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15114== Profiling application: ./v2.out
==15114== Profiling result:
==15114== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: GPU_minmax(unsigned int, unsigned int, ResultArray*, Result*, MovesArray*, Nimply*, Nimply*)
          1                             sm_efficiency                                               Multiprocessor Activity      99.93%      99.93%      99.93%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.284100    0.284100    0.284100
          1                                       ipc                                                          Executed IPC    0.426192    0.426192    0.426192
          1                                issued_ipc                                                            Issued IPC    0.425226    0.425226    0.425226
          1                             inst_per_warp                                                 Instructions per warp  7.2321e+06  7.2321e+06  7.2321e+06
          1                         branch_efficiency                                                     Branch Efficiency      91.93%      91.93%      91.93%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      24.06%      24.06%      24.06%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      23.23%      23.23%      23.23%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000029    0.000029    0.000029
          1                    issue_slot_utilization                                                Issue Slot Utilization       9.95%       9.95%       9.95%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.591645    1.591645    1.591645
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.038168    1.038168    1.038168
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    5.894680    5.894680    5.894680
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    3.820075    3.820075    3.820075
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    0.000780    0.000780    0.000780
          1                 shared_store_transactions                                             Shared Store Transactions        1360        1360        1360
          1                  shared_load_transactions                                              Shared Load Transactions        3048        3048        3048
          1                   local_load_transactions                                               Local Load Transactions   137685843   137685843   137685843
          1                  local_store_transactions                                              Local Store Transactions    60117214    60117214    60117214
          1                          gst_transactions                                             Global Store Transactions         127         127         127
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      99.97%      99.97%      99.97%
          1                            local_hit_rate                                                        Local Hit Rate      34.86%      34.86%      34.86%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  3.9670MB/s  3.9670MB/s  3.9670MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  1.3260MB/s  1.3260MB/s  1.3260MB/s
          1                            gld_throughput                                                Global Load Throughput  31.732MB/s  31.732MB/s  31.732MB/s
          1                            gst_throughput                                               Global Store Throughput  8.4697KB/s  8.4697KB/s  8.4688KB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  4.8011GB/s  4.8011GB/s  4.8011GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  8.7573GB/s  8.7573GB/s  8.7573GB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  3.8237GB/s  3.8237GB/s  3.8237GB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  813.12KB/s  813.12KB/s  813.12KB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  362.81KB/s  362.81KB/s  362.81KB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                                        Global Memory Store Efficiency   16030.51%   16030.51%   16030.51%
          1                    tex_cache_transactions                                            Unified Cache Transactions    75484667    75484667    75484667
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
